uf,pop_2010_compat,pop_2022,diferenca,cresc_pct
SP,41262199,44411238,3149039,7.63
SC,6248436,7610361,1361925,21.8
GO,6001789,7056495,1054706,17.57
PR,10444526,11444380,999854,9.57
MG,19597330,20539989,942659,4.81
MT,3035122,3658649,623527,20.54
PA,7581051,8120131,539080,7.11
AM,3483985,3941613,457628,13.14
CE,8451644,8794957,343313,4.06
ES,3514952,3833712,318760,9.07
MS,2449024,2757013,307989,12.58
PE,8796055,9058931,262876,2.99
DF,2572159,2817381,245222,9.53
PB,3766528,3974687,208159,5.53
MA,6574789,6776699,201910,3.07
RS,10693929,10882965,189036,1.77
RR,450479,636707,186228,41.34
PI,3119097,3271199,152102,4.88
SE,2067852,2210004,142152,6.87
RN,3168027,3302729,134702,4.25
TO,1383445,1511460,128015,9.25
BA,14017071,14141626,124555,0.89
AC,733559,830018,96459,13.15
RJ,15989929,16055174,65245,0.41
AP,669526,733759,64233,9.59
RO,1562409,1581196,18787,1.2
AL,3120887,3127683,6796,0.22
